"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp"
17,"NREC-lys","ISU",106,"1","AR","S","2024-04-10","2024",0.141,0.0272,4,0.0572856444182146,0.011655010724778
57,"NREC-lys","ISU",106,"1","AR","S","2024-04-24","2024",0.107,0.0386,4,0.0441476208787228,0.0164483182590375
116,"NREC-lys","ISU",106,"1","AR","S","2024-04-30","2024",0.0807,0.0132,4,0.0337051514678522,0.0056951811185104
57,"NREC-lys","ISU",106,"1","AR","S","2025-04-03","2025",4.3,0.05,4,0.724275869600789,0.0211892990699381
153,"NREC-lys","ISU",106,"1","AR","S","2025-05-02","2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
28,"NREC-lys","ISU",205,"2","AR","S","2024-04-10","2024",0.136,0.03876,4,0.0553783313750001,0.0165152177056831
109,"NREC-lys","ISU",205,"2","AR","S","2024-04-30","2024",0.0893,0.0225,4,0.0371475036325547,0.0096633166793794
69,"NREC-lys","ISU",205,"2","AR","S","2025-04-03","2025",17.2,0.05,4,1.26007138798507,0.0211892990699381
117,"NREC-lys","ISU",205,"2","AR","S","2025-04-21","2025",18.7,0.05,4,1.29446622616159,0.0211892990699381
165,"NREC-lys","ISU",205,"2","AR","S","2025-05-02","2025",15.7,0.05,5,1.22271647114758,0.0211892990699381
14,"NREC-lys","ISU",305,"3","AR","S","2024-04-10","2024",0.0719,0.0205,4,0.0301542709221024,0.00881300905208929
54,"NREC-lys","ISU",305,"3","AR","S","2024-04-24","2024",0.0563,0.0139,4,0.0237872797898467,0.00599512305469129
105,"NREC-lys","ISU",305,"3","AR","S","2024-04-30","2024",0.00146,0.0121,4,0.000633607522555021,0.00522342485813598
81,"NREC-lys","ISU",305,"3","AR","S","2025-04-03","2025",29.2,0.05,4,1.48000694295715,0.0211892990699381
129,"NREC-lys","ISU",305,"3","AR","S","2025-04-21","2025",27,0.05,4,1.44715803134222,0.0211892990699381
177,"NREC-lys","ISU",305,"3","AR","S","2025-05-02","2025",11.1,0.25,5,1.08278537031645,0.0969100130080564
225,"NREC-lys","ISU",305,"3","AR","S","2025-05-21","2025",2,0.5,5,0.477121254719662,0.176091259055681
31,"NREC-lys","ISU",406,"4","AR","S","2024-04-20","2024",0.254,0.0668,4,0.0982975364946976,0.0280830070178385
74,"NREC-lys","ISU",406,"4","AR","S","2024-04-24","2024",0.2056,0.03548,4,0.0812032393065754,0.0151417150367913
89,"NREC-lys","ISU",406,"4","AR","S","2024-04-30","2024",0.0605,0.0146,4,0.0255106728525806,0.00629485798138536
61,"NREC-lys","ISU",103,"1","CR","S","2024-04-24","2024",0.0633,0.0096,4,0.0266558138770431,0.00414934190005912
121,"NREC-lys","ISU",103,"1","CR","S","2024-04-30","2024",0.1804,0.02576,4,0.0720292008279219,0.0110457595396566
26,"NREC-lys","ISU",203,"2","CR","S","2024-04-10","2024",0.374,0.134,4,0.137986732723532,0.0546130545568877
48,"NREC-lys","ISU",203,"2","CR","S","2024-04-20","2024",0.22,0.0632,4,0.0863598306747482,0.0266149679346756
70,"NREC-lys","ISU",203,"2","CR","S","2024-04-24","2024",0.0694,0.0458,4,0.0291401797643218,0.0194486374936368
129,"NREC-lys","ISU",203,"2","CR","S","2024-04-30","2024",0.0177,0.0425,4,0.00761977451740336,0.0180760636457951
67,"NREC-lys","ISU",203,"2","CR","S","2025-04-03","2025",2.3,0.25,4,0.518513939877887,0.0969100130080564
163,"NREC-lys","ISU",203,"2","CR","S","2025-05-02","2025",4,1,5,0.698970004336019,0.301029995663981
82,"NREC-lys","ISU",301,"3","CR","S","2024-04-24","2024",0.24,0.0204,4,0.0934216851622351,0.00877044993775241
