"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp"
16,"NREC-lys","ISU","106","1","AR","L",2024-04-10,"2024",0.212,0.017,4,0.0835026198302674,0.00732095292274456
17,"NREC-lys","ISU","106","1","AR","S",2024-04-10,"2024",0.141,0.0272,4,0.0572856444182146,0.011655010724778
41,"NREC-lys","ISU","106","1","AR","L",2024-04-20,"2024",0.0459,0.00877,4,0.0194901629975078,0.00379215819211811
57,"NREC-lys","ISU","106","1","AR","S",2024-04-24,"2024",0.107,0.0386,4,0.0441476208787228,0.0164483182590375
58,"NREC-lys","ISU","106","1","AR","L",2024-04-24,"2024",0.0654,0.00803,4,0.0275126924488108,0.0034734573481766
116,"NREC-lys","ISU","106","1","AR","S",2024-04-30,"2024",0.0807,0.0132,4,0.0337051514678522,0.0056951811185104
117,"NREC-lys","ISU","106","1","AR","L",2024-04-30,"2024",1.91,0.0079,4,0.463892988985907,0.00341744520219368
57,"NREC-lys","ISU","106","1","AR","S",2025-04-03,"2025",4.3,0.05,4,0.724275869600789,0.0211892990699381
153,"NREC-lys","ISU","106","1","AR","S",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
154,"NREC-lys","ISU","106","1","AR","L",2025-05-02,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
202,"NREC-lys","ISU","106","1","AR","L",2025-05-21,"2025",0.4,0.05,5,0.146128035678238,0.0211892990699381
28,"NREC-lys","ISU","205","2","AR","S",2024-04-10,"2024",0.136,0.03876,4,0.0553783313750001,0.0165152177056831
29,"NREC-lys","ISU","205","2","AR","L",2024-04-10,"2024",0.0933,0.0201,4,0.0387393481047489,0.00864274756528515
49,"NREC-lys","ISU","205","2","AR","L",2024-04-20,"2024",0.0732,0.013,4,0.0306806639999014,0.00560944536028039
72,"NREC-lys","ISU","205","2","AR","L",2024-04-24,"2024",0.0689,0.012,4,0.028937077070678,0.00518051250378031
109,"NREC-lys","ISU","205","2","AR","S",2024-04-30,"2024",0.0893,0.0225,4,0.0371475036325547,0.0096633166793794
110,"NREC-lys","ISU","205","2","AR","L",2024-04-30,"2024",0.109,0.0146,4,0.0449315461491601,0.00629485798138536
69,"NREC-lys","ISU","205","2","AR","S",2025-04-03,"2025",17.2,0.05,4,1.26007138798507,0.0211892990699381
70,"NREC-lys","ISU","205","2","AR","L",2025-04-03,"2025",6.2,0.05,4,0.857332496431269,0.0211892990699381
117,"NREC-lys","ISU","205","2","AR","S",2025-04-21,"2025",18.7,0.05,4,1.29446622616159,0.0211892990699381
118,"NREC-lys","ISU","205","2","AR","L",2025-04-21,"2025",13.9,0.05,4,1.17318626841227,0.0211892990699381
165,"NREC-lys","ISU","205","2","AR","S",2025-05-02,"2025",15.7,0.05,5,1.22271647114758,0.0211892990699381
166,"NREC-lys","ISU","205","2","AR","L",2025-05-02,"2025",11.8,0.05,5,1.10720996964787,0.0211892990699381
214,"NREC-lys","ISU","205","2","AR","L",2025-05-21,"2025",18.2,0.05,5,1.28330122870355,0.0211892990699381
14,"NREC-lys","ISU","305","3","AR","S",2024-04-10,"2024",0.0719,0.0205,4,0.0301542709221024,0.00881300905208929
54,"NREC-lys","ISU","305","3","AR","S",2024-04-24,"2024",0.0563,0.0139,4,0.0237872797898467,0.00599512305469129
104,"NREC-lys","ISU","305","3","AR","L",2024-04-30,"2024",0.0614,0.0689,4,0.0258790832933667,0.028937077070678
105,"NREC-lys","ISU","305","3","AR","S",2024-04-30,"2024",0.00146,0.0121,4,0.000633607522555021,0.00522342485813598
81,"NREC-lys","ISU","305","3","AR","S",2025-04-03,"2025",29.2,0.05,4,1.48000694295715,0.0211892990699381
82,"NREC-lys","ISU","305","3","AR","L",2025-04-03,"2025",32,0.05,4,1.51851393987789,0.0211892990699381
129,"NREC-lys","ISU","305","3","AR","S",2025-04-21,"2025",27,0.05,4,1.44715803134222,0.0211892990699381
130,"NREC-lys","ISU","305","3","AR","L",2025-04-21,"2025",21.3,0.05,4,1.34830486304816,0.0211892990699381
177,"NREC-lys","ISU","305","3","AR","S",2025-05-02,"2025",11.1,0.25,5,1.08278537031645,0.0969100130080564
178,"NREC-lys","ISU","305","3","AR","L",2025-05-02,"2025",15.8,0.05,5,1.22530928172586,0.0211892990699381
225,"NREC-lys","ISU","305","3","AR","S",2025-05-21,"2025",2,0.5,5,0.477121254719662,0.176091259055681
226,"NREC-lys","ISU","305","3","AR","L",2025-05-21,"2025",21.8,0.05,5,1.35793484700045,0.0211892990699381
1,"NREC-lys","ISU","406","4","AR","L",2024-04-10,"2024",0.0376,0.0216,4,0.0160299630760237,0.0092808842553589
31,"NREC-lys","ISU","406","4","AR","S",2024-04-20,"2024",0.254,0.0668,4,0.0982975364946976,0.0280830070178385
51,"NREC-lys","ISU","406","4","AR","L",2024-04-24,"2024",0.236,0.02812,4,0.092018470752797,0.0120438075545038
