id,farm,plot,block,crop,type,original_coll_date,year,month,porewater_no3_mgl,porewater_drp_mgl
17,ISU,106,1,AR,shallow,2024-04-10,2024,4,0.141,0.03
57,ISU,106,1,AR,shallow,2024-04-24,2024,4,0.107,0.04
116,ISU,106,1,AR,shallow,2024-04-30,2024,4,0.08,0.01
28,ISU,205,2,AR,shallow,2024-04-10,2024,4,0.136,0.04
109,ISU,205,2,AR,shallow,2024-04-30,2024,4,0.09,0.02
14,ISU,305,3,AR,shallow,2024-04-10,2024,4,0.0719,0.02
54,ISU,305,3,AR,shallow,2024-04-24,2024,4,0.0563,0.01
105,ISU,305,3,AR,shallow,2024-04-30,2024,4,0.00,0.01
31,ISU,406,4,AR,shallow,2024-04-20,2024,4,0.254,0.07
74,ISU,406,4,AR,shallow,2024-04-24,2024,4,0.2056,0.04
89,ISU,406,4,AR,shallow,2024-04-30,2024,4,0.0605,0.01
61,ISU,103,1,CR,shallow,2024-04-24,2024,4,0.0633,0.01
121,ISU,103,1,CR,shallow,2024-04-30,2024,4,0.18,0.03
26,ISU,203,2,CR,shallow,2024-04-10,2024,4,0.374,0.13
48,ISU,203,2,CR,shallow,2024-04-20,2024,4,0.22,0.06
70,ISU,203,2,CR,shallow,2024-04-24,2024,4,0.0694,0.05
129,ISU,203,2,CR,shallow,2024-04-30,2024,4,0.02,0.04
82,ISU,301,3,CR,shallow,2024-04-24,2024,4,0.24,0.02
98,ISU,301,3,CR,shallow,2024-04-30,2024,4,0.06,0.04
34,ISU,301,4,CR,shallow,2024-04-20,2024,4,0.292,0.03
78,ISU,403,4,CR,shallow,2024-04-24,2024,4,0.062,0.03
92,ISU,403,4,CR,shallow,2024-04-30,2024,4,0.07,0.01
22,ISU,101,1,F,shallow,2024-04-10,2024,4,0.0929,0.02
44,ISU,101,1,F,shallow,2024-04-20,2024,4,0.136,0.02
64,ISU,101,1,F,shallow,2024-04-24,2024,4,0.276,0.01
125,ISU,101,1,F,shallow,2024-04-30,2024,4,6.98,0.02
25,ISU,202,2,F,shallow,2024-04-10,2024,4,20.2,0.02
47,ISU,202,2,F,shallow,2024-04-20,2024,4,12.72,0.03
67,ISU,202,2,F,shallow,2024-04-24,2024,4,11.16,0.77
128,ISU,202,2,F,shallow,2024-04-30,2024,4,10.1,0.02
10,ISU,302,3,F,shallow,2024-04-10,2024,4,0.863,0.10
7,ISU,401,4,F,shallow,2024-04-10,2024,4,50.4,0.02
81,ISU,401,4,F,shallow,2024-04-24,2024,4,42,0.04
95,ISU,401,4,F,shallow,2024-04-30,2024,4,75.10,0.03
18,ISU,105,1,GPC,shallow,2024-04-10,2024,4,0.0923,0.02
59,ISU,105,1,GPC,shallow,2024-04-24,2024,4,0.00461,0.01
118,ISU,105,1,GPC,shallow,2024-04-30,2024,4,0.04,0.02
30,ISU,206,2,GPC,shallow,2024-04-10,2024,4,0.141,0.04
50,ISU,206,2,GPC,shallow,2024-04-20,2024,4,0.2168,0.03
73,ISU,206,2,GPC,shallow,2024-04-24,2024,4,0.0133,0.02
112,ISU,206,2,GPC,shallow,2024-04-30,2024,4,0.06,0.02
15,ISU,306,3,GPC,shallow,2024-04-10,2024,4,0.1508,0.10
55,ISU,306,3,GPC,shallow,2024-04-24,2024,4,0.0689,0.02
115,ISU,306,3,GPC,shallow,2024-04-30,2024,4,0.18,0.03
2,ISU,405,4,GPC,shallow,2024-04-10,2024,4,0.064,0.01
75,ISU,405,4,GPC,shallow,2024-04-24,2024,4,0.1196,0.02
90,ISU,405,4,GPC,shallow,2024-04-30,2024,4,0.1,0.02
63,ISU,102,1,PCRO,shallow,2024-04-24,2024,4,0.134,0.02
71,ISU,204,2,PCRO,shallow,2024-04-24,2024,4,0.512,0.10
107,ISU,204,2,PCRO,shallow,2024-04-30,2024,4,0.02,0.14
53,ISU,304,3,PCRO,shallow,2024-04-24,2024,4,0.177,0.08
103,ISU,304,3,PCRO,shallow,2024-04-30,2024,4,2.04,0.02
5,ISU,402,4,PCRO,shallow,2024-04-10,2024,4,34.68,0.26
52,ISU,402,4,PCRO,shallow,2024-04-24,2024,4,3.36,0.40
93,ISU,402,4,PCRO,shallow,2024-04-30,2024,4,7.05,0.31
119,ISU,104,1,WPC,shallow,2024-04-30,2024,4,0.03,0.01
23,ISU,201,2,WPC,shallow,2024-04-10,2024,4,0.258,0.02
65,ISU,201,2,WPC,shallow,2024-04-24,2024,4,0.25,0.01
126,ISU,201,2,WPC,shallow,2024-04-30,2024,4,0.07,0.01
12,ISU,303,3,WPC,shallow,2024-04-10,2024,4,0.058,0.03
85,ISU,303,3,WPC,shallow,2024-04-24,2024,4,0.0568,0.02
100,ISU,303,3,WPC,shallow,2024-04-30,2024,4,0.06,0.01
4,ISU,404,4,WPC,shallow,2024-04-10,2024,4,0.0648,0.03
33,ISU,404,4,WPC,shallow,2024-04-20,2024,4,0.3228,0.03
77,ISU,404,4,WPC,shallow,2024-04-24,2024,4,0.0752,0.03
113,ISU,404,4,WPC,shallow,2024-04-30,2024,4,0.12,0.02
177,WIU,6,1,AR,shallow,2024-04-02,2024,4,1.96,0.01
221,WIU,6,1,AR,shallow,2024-04-27,2024,4,2.41,0.01
230,WIU,12,2,AR,shallow,2024-04-27,2024,4,2.99,0.01
149,WIU,15,3,AR,shallow,2024-04-02,2024,4,3.1,0.02
193,WIU,15,3,AR,shallow,2024-04-27,2024,4,7.64,0.01
159,WIU,21,4,AR,shallow,2024-04-02,2024,4,8.43,0.02
204,WIU,21,4,AR,shallow,2024-04-27,2024,4,1.76,0.02
175,WIU,5,1,CR,shallow,2024-04-02,2024,4,0.86,0.02
219,WIU,5,1,CR,shallow,2024-04-27,2024,4,0.11,0.01
181,WIU,8,2,CR,shallow,2024-04-02,2024,4,0.871,0.02
151,WIU,16,3,CR,shallow,2024-04-02,2024,4,0.29,0.01
195,WIU,16,3,CR,shallow,2024-04-27,2024,4,0.11,0.01
161,WIU,22,4,CR,shallow,2024-04-02,2024,4,0.761,0.02
206,WIU,22,4,CR,shallow,2024-04-27,2024,4,0.179,0.01
167,WIU,1,1,F,shallow,2024-04-02,2024,4,5.97,0.02
212,WIU,1,1,F,shallow,2024-04-27,2024,4,1.27,0.01
186,WIU,11,2,F,shallow,2024-04-02,2024,4,11.7,0.01
152,WIU,17,3,F,shallow,2024-04-02,2024,4,7.58,0.08
197,WIU,17,3,F,shallow,2024-04-27,2024,4,3.44,0.02
155,WIU,19,4,F,shallow,2024-04-02,2024,4,4.73,0.02
200,WIU,19,4,F,shallow,2024-04-27,2024,4,6.20,0.01
173,WIU,4,1,GPC,shallow,2024-04-02,2024,4,4.79,0.01
217,WIU,4,1,GPC,shallow,2024-04-27,2024,4,0.299,0.01
184,WIU,10,2,GPC,shallow,2024-04-02,2024,4,2.82,0.01
227,WIU,10,2,GPC,shallow,2024-04-27,2024,4,9.88,0.01
145,WIU,10,3,GPC,shallow,2024-04-02,2024,4,1.74,0.01
189,WIU,13,3,GPC,shallow,2024-04-27,2024,4,0.85,0.01
163,WIU,23,4,GPC,shallow,2024-04-02,2024,4,14.32,0.09
208,WIU,23,4,GPC,shallow,2024-04-27,2024,4,10.2,0.01
169,WIU,2,1,PCRO,shallow,2024-04-02,2024,4,10.9,0.01
213,WIU,2,1,PCRO,shallow,2024-04-27,2024,4,5.85,0.01
153,WIU,18,3,PCRO,shallow,2024-04-02,2024,4,3.27,0.01
198,WIU,18,3,PCRO,shallow,2024-04-27,2024,4,8.64,0.02
165,WIU,24,4,PCRO,shallow,2024-04-02,2024,4,12.88,0.12
210,WIU,24,4,PCRO,shallow,2024-04-27,2024,4,5.93,0.01
171,WIU,3,1,WPC,shallow,2024-04-02,2024,4,4.58,0.01
215,WIU,3,1,WPC,shallow,2024-04-27,2024,4,2.78,0.01
179,WIU,7,2,WPC,shallow,2024-04-02,2024,4,4.41,0.01
223,WIU,7,2,WPC,shallow,2024-04-27,2024,4,0.212,0.01
147,WIU,14,3,WPC,shallow,2024-04-02,2024,4,2.54,0.02
191,WIU,14,3,WPC,shallow,2024-04-27,2024,4,6.23,0.01
158,WIU,20,4,WPC,shallow,2024-04-02,2024,4,10.88,0.07
202,WIU,20,4,WPC,shallow,2024-04-27,2024,4,11.1,0.01
9,ISU,106,1,AR,shallow,2025-03-05,2025,3,13.4,0.05
57,ISU,106,1,AR,shallow,2025-04-03,2025,4,4.3,0.05
