"id","study","farm","plot","block","crop","type","original_coll_date","year","porewater_no3_mgl","porewater_drp_mgl","month","log_no3","log_drp","factor(type, levels = c(""L"", ""S""))"
17,"NREC-lys","ISU","106","1","AR","S",2024-04-10,"2024",0.141,0.03,4,0.0572856444182146,0.0128372247051722,"S"
57,"NREC-lys","ISU","106","1","AR","S",2024-04-24,"2024",0.107,0.04,4,0.0441476208787228,0.0170333392987804,"S"
116,"NREC-lys","ISU","106","1","AR","S",2024-04-30,"2024",0.08,0.01,4,0.0334237554869497,0.00432137378264258,"S"
28,"NREC-lys","ISU","205","2","AR","S",2024-04-10,"2024",0.136,0.04,4,0.0553783313750001,0.0170333392987804,"S"
109,"NREC-lys","ISU","205","2","AR","S",2024-04-30,"2024",0.09,0.02,4,0.0374264979406237,0.00860017176191757,"S"
14,"NREC-lys","ISU","305","3","AR","S",2024-04-10,"2024",0.0719,0.02,4,0.0301542709221024,0.00860017176191757,"S"
54,"NREC-lys","ISU","305","3","AR","S",2024-04-24,"2024",0.0563,0.01,4,0.0237872797898467,0.00432137378264258,"S"
105,"NREC-lys","ISU","305","3","AR","S",2024-04-30,"2024",0,0.01,4,0,0.00432137378264258,"S"
31,"NREC-lys","ISU","406","4","AR","S",2024-04-20,"2024",0.254,0.07,4,0.0982975364946976,0.0293837776852097,"S"
74,"NREC-lys","ISU","406","4","AR","S",2024-04-24,"2024",0.2056,0.04,4,0.0812032393065754,0.0170333392987804,"S"
89,"NREC-lys","ISU","406","4","AR","S",2024-04-30,"2024",0.0605,0.01,4,0.0255106728525806,0.00432137378264258,"S"
61,"NREC-lys","ISU","103","1","CR","S",2024-04-24,"2024",0.0633,0.01,4,0.0266558138770431,0.00432137378264258,"S"
121,"NREC-lys","ISU","103","1","CR","S",2024-04-30,"2024",0.18,0.03,4,0.0718820073061254,0.0128372247051722,"S"
26,"NREC-lys","ISU","203","2","CR","S",2024-04-10,"2024",0.374,0.13,4,0.137986732723532,0.0530784434834197,"S"
48,"NREC-lys","ISU","203","2","CR","S",2024-04-20,"2024",0.22,0.06,4,0.0863598306747482,0.0253058652647703,"S"
70,"NREC-lys","ISU","203","2","CR","S",2024-04-24,"2024",0.0694,0.05,4,0.0291401797643218,0.0211892990699381,"S"
129,"NREC-lys","ISU","203","2","CR","S",2024-04-30,"2024",0.02,0.04,4,0.00860017176191757,0.0170333392987804,"S"
82,"NREC-lys","ISU","301","3","CR","S",2024-04-24,"2024",0.24,0.02,4,0.0934216851622351,0.00860017176191757,"S"
98,"NREC-lys","ISU","301","3","CR","S",2024-04-30,"2024",0.06,0.04,4,0.0253058652647703,0.0170333392987804,"S"
34,"NREC-lys","ISU","301","4","CR","S",2024-04-20,"2024",0.292,0.03,4,0.111262513659065,0.0128372247051722,"S"
78,"NREC-lys","ISU","403","4","CR","S",2024-04-24,"2024",0.062,0.03,4,0.0261245167454503,0.0128372247051722,"S"
92,"NREC-lys","ISU","403","4","CR","S",2024-04-30,"2024",0.07,0.01,4,0.0293837776852097,0.00432137378264258,"S"
22,"NREC-lys","ISU","101","1","F","S",2024-04-10,"2024",0.0929,0.02,4,0.0385804259615783,0.00860017176191757,"S"
44,"NREC-lys","ISU","101","1","F","S",2024-04-20,"2024",0.136,0.02,4,0.0553783313750001,0.00860017176191757,"S"
64,"NREC-lys","ISU","101","1","F","S",2024-04-24,"2024",0.276,0.01,4,0.105850674385144,0.00432137378264258,"S"
125,"NREC-lys","ISU","101","1","F","S",2024-04-30,"2024",6.98,0.02,4,0.902002891350729,0.00860017176191757,"S"
25,"NREC-lys","ISU","202","2","F","S",2024-04-10,"2024",20.2,0.02,4,1.32633586092875,0.00860017176191757,"S"
47,"NREC-lys","ISU","202","2","F","S",2024-04-20,"2024",12.72,0.03,4,1.13735411137073,0.0128372247051722,"S"
67,"NREC-lys","ISU","202","2","F","S",2024-04-24,"2024",11.16,0.77,4,1.08493357493672,0.247973266361807,"S"
128,"NREC-lys","ISU","202","2","F","S",2024-04-30,"2024",10.1,0.02,4,1.04532297878666,0.00860017176191757,"S"
10,"NREC-lys","ISU","302","3","F","S",2024-04-10,"2024",0.863,0.1,4,0.270212854896243,0.0413926851582251,"S"
7,"NREC-lys","ISU","401","4","F","S",2024-04-10,"2024",50.4,0.02,4,1.71096311899528,0.00860017176191757,"S"
81,"NREC-lys","ISU","401","4","F","S",2024-04-24,"2024",42,0.04,4,1.63346845557959,0.0170333392987804,"S"
95,"NREC-lys","ISU","401","4","F","S",2024-04-30,"2024",75.1,0.03,4,1.88138465677057,0.0128372247051722,"S"
18,"NREC-lys","ISU","105","1","GPC","S",2024-04-10,"2024",0.0923,0.02,4,0.0383419336536062,0.00860017176191757,"S"
59,"NREC-lys","ISU","105","1","GPC","S",2024-04-24,"2024",0.00461,0.01,4,0.00199749686076312,0.00432137378264258,"S"
118,"NREC-lys","ISU","105","1","GPC","S",2024-04-30,"2024",0.04,0.02,4,0.0170333392987804,0.00860017176191757,"S"
30,"NREC-lys","ISU","206","2","GPC","S",2024-04-10,"2024",0.141,0.04,4,0.0572856444182146,0.0170333392987804,"S"
50,"NREC-lys","ISU","206","2","GPC","S",2024-04-20,"2024",0.2168,0.03,4,0.085219201044942,0.0128372247051722,"S"
73,"NREC-lys","ISU","206","2","GPC","S",2024-04-24,"2024",0.0133,0.02,4,0.00573804265142485,0.00860017176191757,"S"
112,"NREC-lys","ISU","206","2","GPC","S",2024-04-30,"2024",0.06,0.02,4,0.0253058652647703,0.00860017176191757,"S"
15,"NREC-lys","ISU","306","3","GPC","S",2024-04-10,"2024",0.1508,0.1,4,0.0609998532182884,0.0413926851582251,"S"
55,"NREC-lys","ISU","306","3","GPC","S",2024-04-24,"2024",0.0689,0.02,4,0.028937077070678,0.00860017176191757,"S"
115,"NREC-lys","ISU","306","3","GPC","S",2024-04-30,"2024",0.18,0.03,4,0.0718820073061254,0.0128372247051722,"S"
2,"NREC-lys","ISU","405","4","GPC","S",2024-04-10,"2024",0.064,0.01,4,0.0269416279590294,0.00432137378264258,"S"
75,"NREC-lys","ISU","405","4","GPC","S",2024-04-24,"2024",0.1196,0.02,4,0.0490628897941247,0.00860017176191757,"S"
90,"NREC-lys","ISU","405","4","GPC","S",2024-04-30,"2024",0.1,0.02,4,0.0413926851582251,0.00860017176191757,"S"
63,"NREC-lys","ISU","102","1","PCRO","S",2024-04-24,"2024",0.134,0.02,4,0.0546130545568877,0.00860017176191757,"S"
71,"NREC-lys","ISU","204","2","PCRO","S",2024-04-24,"2024",0.512,0.1,4,0.179551791165188,0.0413926851582251,"S"
107,"NREC-lys","ISU","204","2","PCRO","S",2024-04-30,"2024",0.02,0.14,4,0.00860017176191757,0.0569048513364726,"S"
53,"NREC-lys","ISU","304","3","PCRO","S",2024-04-24,"2024",0.177,0.08,4,0.0707764628434347,0.0334237554869497,"S"
103,"NREC-lys","ISU","304","3","PCRO","S",2024-04-30,"2024",2.04,0.02,4,0.482873583608754,0.00860017176191757,"S"
5,"NREC-lys","ISU","402","4","PCRO","S",2024-04-10,"2024",34.68,0.26,4,1.55242484570409,0.100370545117563,"S"
52,"NREC-lys","ISU","402","4","PCRO","S",2024-04-24,"2024",3.36,0.4,4,0.639486489268586,0.146128035678238,"S"
